JobTitle,Company,Location,Summary,Salary
Business Intelligence Developer/Analyst,FIS Global,"Bengaluru, Karnataka","Experienced (relevant combo of work and education). Are you curious, motivated, and forward-thinking? At FIS you’ll have the opportunity to work on some of the…",
SalesForce Analyst Developer,ResMed,"New Delhi, Delhi",Key responsibilities include providing technical expertise in formulating business requirements for system functional specifications; define and document…,
Business Analyst – Reporting & Automation,Nutanix,"Bengaluru, Karnataka","Strong knowledge in designing and developing business intelligence dashboards using Tableau, Excel. Research, plan, recommend and implement dashboards and data…",
Job Opportunity For Salesforce Business Analyst,Peoplefy Infosolutions Private Limited,"Pune, Maharashtra","We have an excellent opportunity for an leading product based company. Extensive experience analyzing, designing, configuring and supporting Salesforce…",
"Analyst, Sales Insights and Enablement",MasterCard,"Gurgaon, Haryana","Support generation of business insights using Tableau or other BI tools. Understanding of Sales processes, systems (e.g. salesforce) and productivity tools is a…",
Application Support Analyst,Optiva,Remote,Working Experience with stakeholders to define and design IT business processes based on ITIL. Ability to act as the Administrator for SaaS-based business…,
APAC Business Development Data Analyst,Cepheid,"Kolkata, West Bengal","Bachelor’s degree in business intelligence or Data analyst work experience, especially in customer service. Collects business needs for new reporting needs.",
System Analyst-Technical,Preludesys,India,"Implementing Dashboards and descriptive development as per business requirements. Experience in SFDC ,Customizations and Development. Salary: 7 to 16 LPA.","₹7,00,000 - ₹16,00,000 a year"
Salesforce Solution Arch E2E Design,Barclays,"Pune, Maharashtra","Acting as a Salesforce Solution Architect, you are responsible for providing salesforce solutions to business problems applying the architectural framework as…",
Analyst - Salesforce Community Cloud,Ciena,"Gurgaon, Haryana","Ciena makes your social / entertainment / business existence REAL. With Ciena’s highly innovative, forward-thinking business practices, we reward people for…",
Analyst - Salesforce Community Cloud,Ciena,"Gurgaon, Haryana","Ciena makes your social / entertainment / business existence REAL. With Ciena’s highly innovative, forward-thinking business practices, we reward people for…",
Buisness Analyst,Red Hat Software,"Pune, Maharashtra","Create business plans and dashboards, supporting process mapping and business intelligence (BI) solutions development. The following are considered a plus:",
Business Analyst,skilora,Remote,Prioritize initiatives based on business needs and requirements. Capture and respond to business requests for support services.,
"Analyst, Digital Marketing",BlackRock,"Mumbai, Maharashtra","Owns business metrics (lead generation, account nurturing). Work closely with partners to drive adoption of MarTech platforms &help them track the correct…",
Business Analyst II - SFDC,Novo Nordisk,"Bengaluru, Karnataka","Are you enthusiastic about understanding the business and bringing attention to key business challenges? Experience in salesforce configuration like Workflows,…",
Functional Consultant/ Business Analyst,Mirketa,"Noida, Uttar Pradesh",Document business processes using process flow diagrams. Perform value stream analysis on business processes and make recommendations for optimization.,
Senior Analyst-Salesforce Audience 360/Adobe Audience Manager,Merkle Sokrati,"Pune, Maharashtra","As an Analyst, you will be responsible for managing business stakeholders, participate in defining, optimizing, and formulating actionable insights.",
Business Analyst - Campaign to Order,Nutanix,"Bengaluru, Karnataka",Partner with key business and technical stakeholders to enhance current solutions and develop new ones. With minimal supervision and working at the highest…,
Sales Force Service cloud – Business Analyst,Tekeinstein Software Solution,"Chennai, Tamil Nadu","Business analysis: 1 year (Preferred). . Work with the project team to gather the business and functional requirements, by scoping, defining, and prioritizing…",
Associate Customer Support Analyst,EFI,India,"All of us at EFI are relentlessly focused on just one thing: the growth and success of the print business. Our customers today, want to know how their business…",
Salesforce Developer,Syncrasy Technologies Pvt. Ltd.,"Noida, Uttar Pradesh",Perform deployments requested by the salesforce engineering and business analyst team. The Developer will develop customized solutions within the Salesforce…,"₹50,000 - ₹90,000 a month"
Business Analyst,Astegic,"Jaipur, Rajasthan","6+ years’ experience as business analyst in a software company. Create informative, actionable and repeatable reporting that highlights relevant business trends…",
Salesforce Developer,Cardinality,Remote,Should have demonstrated experience working in an Agile project environment documenting business requirements and process flow diagrams for new appl development…,
Applications Analyst,Viavi Solutions,"Pune, Maharashtra",Document dashboard and reporting requirements to meet customer’s business needs. Working as a primary technical consultant for enabling VIAVI customers to…,
DW43: IT Business Analyst (m / w),QSSOT Technology,"Coimbatore, Tamil Nadu","Role Description : DW43: IT Business Analyst (m / w). IT Business Analyst, Technology and methodology expertise, Consulting and Analysis Skills.",
Assistant Manager - Salesforce Business Analyst,Genpact,"Noida, Uttar Pradesh",You will be providing key business insights based on analyzing multiple data sources. Map the business requirement to the sales portfolio appropriate for…,
Marketing Analyst,"PRGX Global, Inc","Pune, Maharashtra",You will provide support to the marketing programs and business development team in analyzing campaigns and marketing initiatives that drive prospect…,
"Functional Admin Analyst, GC Operations",Fidelity International,"Gurgaon, Haryana","Conducting business validation, User Acceptance Testing (UAT) for system releases. Together with our Investment Solutions & Services business, we invest $471…",
Senior Analyst-Salesforce Audience 360/Adobe Audience Manager,Merkle,"Pune, Maharashtra","As an Analyst, you will be responsible for managing business stakeholders, participate in defining, optimizing, and formulating actionable insights.",
Billing Analyst (International),MongoDB,"Gurgaon, Haryana","To drive the personal growth and business impact of our employees, we're committed to developing an encouraging and enriching culture for everyone.",
Salesforce Administrator,DATSolutions Pvt Ltd,"Bengaluru, Karnataka","Transportation brokers, carriers, news organizations and industry analysts rely on DAT for market trends and data insights derived from 279 million forecasted…",
Senior Business Analyst,Q2ebanking,"Bengaluru, Karnataka",Work with team members to author business level integration requirements. Q2 is seeking a Business Analyst for our Engineering Development group based in…,
"RSA - Senior Advisor, Business Systems Analyst",RSA,"Bengaluru, Karnataka","RSA solutions are designed to eﬀectively detect and respond to advanced attacks; manage user access control; and reduce business risk, fraud and cybercrime.",
Sr. Business Analyst,GE Appliances,"Hyderabad, Telangana","Define, track, and report on field service metrics that align with the business strategy. Contribute to the short-and long-term planning sessions to understand…",
Digital Marketing Analyst,JLL,"Gurgaon, Haryana",We are looking for a Digital Marketing Analyst to support our email marketing endeavours (Eloqua) and the ongoing growth and success of the JLL business.,
Business Analyst (ICE),BNP Paribas,"Chennai, Tamil Nadu","Partner with the internal global user groups to learn their business, business processes,. Ability to anticipate business / strategic evolution.",
Marketing Research analyst,NICE,"Pune, Maharashtra","Analyze, append & format leads/data coming from external sources before it goes into the salesforce CRM. The successful candidate will be a self-motivated,…",
Sr.Salesforce Business Analyst,A Thingz Solutions Private Limited,"Bengaluru, Karnataka",Location : Hyderabad/Bangalore/Kolhapur/Visakhapatnam. Mode of Interview : MS TEAMS. Relevant years : 7+ years in Salesforce. Interview Date : 6-Feb-2021.,
Senior Data Analyst,Qualys,"Pune, Maharashtra",Develop and maintain dashboards in salesforce Analytics Cloud Platform for all business units. Working alongside teams within the business or the management…,
Quality Analyst,Omnicloud Consulting,"Hyderabad, Telangana",Collaborate with other internal groups to understand and analyze business functional requirements to mitigate risk. Looking to hire QA(Part-Time).,
Data Analyst (ACT),Xylem,"Bengaluru, Karnataka","Interact with business leaders & business operations team in the United States of America & other regions to identify key challenges, and identify how data can…",
Salesforce QA Analyst,Sprinklr,"Bengaluru, Karnataka","Interact with product management, business analysts and development teams to develop an understanding of the project and testing objectives.",
Salesforce Developer with Lightning/LWC/Apex,Maxify Digital,"Noida, Uttar Pradesh","Work closely with customers, business analysts, user interaction designers, and other software engineers to develop new solutions and improve existing ones.","₹3,00,000 - ₹13,00,000 a year"
