JobTitle,Company,Location,Summary,Salary
Sales Manager,cdnetworks,"Mumbai, Maharashtra",Company: CDNVIDEO (INDIA) PVT LTD. ( a CDNETWORKS Company). Department/Function: Customer Excellence - Sales. Reporting to: Sales Head India.,
Technical Project Manager,EngineerBabu,"Indore, Madhya Pradesh","Establish and implement training processes and strategies for all technical personnel. Analyze, plan and develop requirements and standards in reference to…",
"Associate/Manager, Software Development",TeachForIndia,"Mumbai, Maharashtra",Teach For India is looking for passionate top-notch software developers to join us in our movement to end education inequity in India.,
Project Manager – Salesforce,Solunus,"Hyderabad, Telangana",Position: Project Manager – Salesforce – Full Time – 10-15 years. Manage a project of Salesforce.com / Force.com Development. Guide and Drive Project Teams.,
Sr. Manager - Business operations,Tata Communications,"Mumbai, Maharashtra","For example, in this fiscal this role is the project manager for IZO Hybrid solution launch. Broad outline of the Role. Purpose - Broad objective of the role.",
Territory Account Manager,VIS Networks Pvt Ltd,"Bengaluru, Karnataka","There has never been a better and more exciting time to join the VIS-Avaya brand. Avaya is a recognised global market leader in delivering innovative, next…","₹40,000 a month"
Strategic Investments Manager,TeachForIndia,"Mumbai, Maharashtra",The Mission of the Development team is to build lifelong champions of the cause and to acquire financial support for the movement. Operational Support ~ 15%.,
Urgent Opening Salesforce,ICS Consultancy Services,India,"Roles and responsibilities for Urgent Opening Salesforce. : Role : Application Lead Role Description : Lead the effort to design, build and configure…","₹10,00,000 - ₹25,00,000 a year"
"Sales Manager, Protein",JBT Corporation,"Pune, Maharashtra","The purpose of this position is to grow the sales in India market. Follow the regional strategy, work closely with regional leadership team, and cooperate with…",
Account Manager,Wise Monk,Remote,"Ensuring smooth functioning of the account internally to help meet all deliverables including coordination with design teams, media teams, managers, and other…","₹7,00,000 a year"
Communications Manager,ABB,"Bengaluru, Karnataka","Take your next career step at ABB with a global team that is energizing the transformation of society and industry to achieve a more productive, sustainable…",
"Application Developer - Opportunity for Working Remotely Pune,",VMware,"Pune, Maharashtra",Application development experience as salesforce admin and gainsight developer and knowledge in hands on salesforce platform. Full Time/ Part Time: Full Time.,
Release Manager,CIGNEX Datamatics,"Bengaluru, Karnataka",8+ years of experience working on Build/Release Experience. Salesforce DevOps Engineer responsible for implementing scalable solutions including continuous…,
ZOHO CRM Administrator,Elegant International,"Jaipur, Rajasthan","The CRM administrator will normally report to the CRM manager, head of finance or marketing director. The role of the CRM administrator typically involves…","₹15,000 - ₹25,000 a year"
QA Manager,AutoRABIT Holding Inc.,"Hyderabad, Telangana","AutoRABIT is the leader in DevOps and CI/CD for SaaS platforms such as Salesforce. Its unique metadata-aware capability makes Release Management, Version…",
"SAMEA Regional Product Manager (Sweet Goods, Dairy & Nutrition)",Givaudan,"Mumbai, Maharashtra","Engage with local stakeholders (Marketing, Taste & Wellbeing Creation & Application team, and Sales) to drive product launches in the region and identify…",
Salesforce Einstein Analytics - Associate 2 - Bangalore,PwC,"Bengaluru, Karnataka",A career in our Advisory Service Delivery Centre is the natural extension of PwC’s leading class global delivery capabilities. Experience : 4 to 6 Years.,
Manager - Service Sales,ABB,"Visakhapatnam, Andhra Pradesh",Reporting to Service sales manager and will be responsible for driving service sales process in collaboration with the service sales manager and /or service…,
Assistant Manager Marketing,Xanadu,"Mumbai, Maharashtra","Reports to DGM / GM, Marketing. Xanadu is India's only end-to-end Sales and Marketing solution provider in real estate, with a strong outlook towards expansion…",
Salesforce QA,bluCursor Infotech Pvt Ltd,"Indore, Madhya Pradesh","Responsible for successful execution and informing team and managers of obstacles, issues and risks. Execute a blend of manual, exploratory, and automated…","₹8,086 - ₹37,512 a month"
Digital-Associate Process Manager-SFMC,Eclerx,"Pune, Maharashtra","CSS & Javascript, HTML, JavaScript, Marketing Automation Tool. Salesforce Marketing Cloud - Associate Process Manager. India | Full-time (FT) | Digital.",
Salesforce Business Analyst,Twilio,"Bengaluru, Karnataka","BE AN OWNER: Own and improve a Sales roadmap (Top of Funnel and Post-Sales) of operational improvements, and assist program managers and solutions architects…",
"Degree Marketing Manager, India",Coursera,India,"Coursera is a leading online learning platform for higher education, where 76 million learners from around the world come to learn skills of the future.",
Job Opening for Salesforce Presales Manager,Team Ace HR LLP,"Hyderabad, Telangana",Job Description:- A highly professional IT Services company headquartered in UK with business operations in Middle East & India is expanding to offer Salesforce…,
Salesforce Dev,Vipany Group,"Hyderabad, Telangana","As a Techno-Functional Manager, you will lead a team of application architects, developers, testers, DevOps & release engineers.",
Sales and Marketing Data Analyst,McGraw Hill,Remote,"Supporting, enabling, and training regional sales operations managers with regional reporting metrics and dashboard analysis. Sales and Marketing Data Analyst.",
Salesforce architects/developer,Penmark Solutions,"Mumbai, Maharashtra","\* Communicate with project managers, clients, and other developers to design cohesive project strategies and ensure effective collaboration throughout all…",
Tech Lead – Salesforce,PRIFFY,"Bengaluru, Karnataka","Collaborate with project managers to Identify project milestones, tasks, and required resources to develop a detailed project plan. Total Exp : 8 – 15 Years.",
Tech Lead – Salesforce,PRIFFY,"Bengaluru, Karnataka","Collaborate with project managers to Identify project milestones, tasks, and required resources to develop a detailed project plan. Total Exp : 8 – 15 Years.",
"Manager, Recruiting",Salesforce,"Hyderabad, Telangana","To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.",
ESG Research Project Manager,Institutional Shareholder Services,"Mumbai, Maharashtra","ISS ESG is seeking to hire an experienced project manager and business analyst within the global ESG research function to work within our ratings, data strategy…",
Senior Salesforce Engineer,Skillsoft,Andhra Pradesh,All resumes submitted by employment agencies directly to any Skillsoft employee or hiring manager in any form without a signed Skillsoft Employment Agency…,
Business Development Manager,AllinCall Research and Solutions,"Mumbai, Maharashtra","Location: Currently remote, eventually Mumbai. Compensation: As per the Industry standards. Minimum work experience: 2 - 3 years in B2B Business Development or…",
SFDC Administrator - Advance,Hewlett Packard Enterprise,"Bengaluru, Karnataka","The administrator will work closely with functional leaders, organizational units, and subject matter experts to manage key governance processes: package…",
Bid Manager,Tata Communications,"New Delhi, Delhi","Lead and drive bid team to provide support to sales leads for deal preparation through interfacing with stakeholder teams (sales, solution, commercial, legal…",
